combination_id;val1;val2;val3;expn_val
1;23 ~ 39;Ninth through twelfth grade ~ Associate's degree;8363 ~ 27623;FOR/110 -> 0.1361111111111111|CHE/100 -> 0.1111111111111111|HON/100 -> 0.10833333333333334|
1;38 ~ 59;Associate's degree ~ Professional/Doctorate degree;206413 ~ 302671;TOY/110 -> 0.15315315315315314|HON/100 -> 0.14414414414414414|TOY/100 -> 0.13513513513513514|
1;35 ~ 57;Ninth through twelfth grade ~ Some college, less than college graduate;36986 ~ 55005;CHE/110 -> 0.28431372549019607|FOR/110 -> 0.25245098039215685|TOY/100 -> 0.12254901960784313|
1;38 ~ 59;Associate's degree ~ Professional/Doctorate degree;353747 ~ 711200;FOR/110 -> 0.391304347826087|CHE/110 -> 0.21739130434782608|BMW/100 -> 0.21739130434782608|
1;30 ~ 52;Associate's degree ~ Master's degree;78123 ~ 103110;TOY/100 -> 0.2334293948126801|HON/100 -> 0.1844380403458213|CHE/110 -> 0.14697406340057637|
1;26 ~ 40;Associate's degree ~ Master's degree;29704 ~ 54351;HON/100 -> 0.1322314049586777|TOY/100 -> 0.1184573002754821|FOR/110 -> 0.09090909090909091|
1;36 ~ 60;Some college, less than college graduate ~ Master's degree;120755 ~ 157765;FOR/110 -> 0.1831831831831832|TOY/110 -> 0.17117117117117117|TOY/100 -> 0.16816816816816818|
1;46 ~ 66;Associate's degree ~ Master's degree;45535 ~ 67615;TOY/100 -> 0.19767441860465115|HON/100 -> 0.1434108527131783|FOR/110 -> 0.13565891472868216|
1;34 ~ 57;Ninth through twelfth grade ~ Some college, less than college graduate;70601 ~ 96856;FOR/110 -> 0.3313782991202346|CHE/110 -> 0.25219941348973607|TOY/100 -> 0.1436950146627566|
1;48 ~ 67;High school graduate ~ Bachelor's degree;7102 ~ 29328;FOR/110 -> 0.2007042253521127|TOY/100 -> 0.1443661971830986|CHE/100 -> 0.1267605633802817|
